epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,1661.69,1.40154,1.64927,1.50418,0.63578,0.56335,0.58319,0.37963,1.31761,1.22343,1.42543,0.00065845,0.00065845,0.00065845
71,1685.11,1.39201,1.62526,1.49793,0.73443,0.51187,0.59762,0.37694,1.37618,1.28394,1.46359,0.0006535,0.0006535,0.0006535
72,1708.25,1.3813,1.61247,1.49921,0.63544,0.52163,0.59688,0.37576,1.30203,1.21965,1.41128,0.00064855,0.00064855,0.00064855
73,1731.41,1.37464,1.61528,1.49175,0.68409,0.57443,0.61067,0.39549,1.26262,1.19153,1.40044,0.0006436,0.0006436,0.0006436
74,1754.6,1.36994,1.59573,1.47934,0.56335,0.63049,0.60029,0.39186,1.30605,1.18959,1.41349,0.00063865,0.00063865,0.00063865
75,1778.04,1.37343,1.6286,1.50093,0.69635,0.54601,0.61105,0.39314,1.32068,1.19469,1.42483,0.0006337,0.0006337,0.0006337
76,1801.16,1.37019,1.61071,1.48706,0.65863,0.57882,0.58286,0.39339,1.3263,1.21999,1.45502,0.00062875,0.00062875,0.00062875
77,1824.68,1.38015,1.62721,1.49561,0.68435,0.59976,0.61937,0.4185,1.28253,1.15877,1.41319,0.0006238,0.0006238,0.0006238
78,1848.15,1.378,1.6038,1.48459,0.62856,0.60188,0.60225,0.39247,1.26926,1.19127,1.40417,0.00061885,0.00061885,0.00061885
79,1871.52,1.36578,1.61206,1.48742,0.61115,0.64627,0.61824,0.4033,1.26613,1.18879,1.41034,0.0006139,0.0006139,0.0006139
80,1894.91,1.35379,1.5945,1.4725,0.63284,0.60883,0.62777,0.40318,1.28325,1.17084,1.42241,0.00060895,0.00060895,0.00060895
81,1918.51,1.35829,1.58438,1.48363,0.60758,0.6152,0.6104,0.39807,1.2578,1.18477,1.36799,0.000604,0.000604,0.000604
82,1942.28,1.34395,1.58916,1.47307,0.67172,0.62249,0.62484,0.4159,1.29555,1.19134,1.40366,0.00059905,0.00059905,0.00059905
